DVC Code,Company Name,Business Nature,business Sector,Business Industry,Listed,Legal status,User Key,User Name,Firm Key,Firm Name,Service Category,Service Name,Document Date,Document,Reference Law
2211010478AS289461,SHEPHERD INDUSTRIES LIMITED ,Washing & Dyeing,Textiles,Washing & Dyeing,Y,Private Limited Company,478,M Zabed Ali Mridha FCA,F-0017,Ahmed Zaker & Co.,Audit,Statutory Audit,11/1/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2211100939AS732020,SK TRIMS & INDUSTRIES LIMITED,Others,Other Manufacturing,Others,Y,Private Limited Company,939,Md. Selim Reza  FCA,F-0025,ARTISAN,Audit,Statutory Audit,10/26/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2211010137AS125320,S.ALAM COLD ROLLED STEELS LIMITED ,Non-Ferrous,Metal Industries,Non-Ferrous,Y,Private Limited Company,137,Showkat  Hossain FCA,F-0055,Hoda Vasi Chowdhury & Co.,Audit,Statutory Audit,11/1/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2301262014AS327785,SOMIR UDDIN KNITEX LTD.,Garments,Textiles,Garments,Y,Private Limited Company,2014,Md. Shahjahan ACA,F-0200,Ali Zahir Ashraf & Co. - Chartered Accountants,Audit,Statutory Audit,1/26/2023,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2301120281AS109436,TULIP PROPERTIES LIMITED,Real Estate,Construction,Real Estate,Y,Private Limited Company,281,Hedayet  Ullah FCA,F-0072,K M Hasan & Co.,Audit,Statutory Audit,12/7/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2302120715AS161673,IL BANGLA LIMITED,Knitting,Textiles,Knitting,Y,Private Limited Company,715,Md Atikur Rahman FCA,F-0031,Atik Khaled Chowdhury,Audit,Statutory Audit,12/29/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2302200165AS173333,K.M. FASHIONS LIMITED,Garments,Textiles,Garments,Y,Private Limited Company,165,Quazi Shafiqul Islam FCA,F-0067,Islam Quazi Shafique & Co.,Audit,Statutory Audit,2/10/2023,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2304151484AS412473,MAATS COTTAGE LTD.,Others,Other Manufacturing,Others,Y,Private Limited Company,1484,Anika Sultana FCA,F-0191,Anika Sultana & Co.,Audit,Statutory Audit,4/9/2023,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2304151484AS955149,MAATS COTTAGE LTD.,Others,Other Manufacturing,Others,Y,Private Limited Company,1484,Anika Sultana FCA,F-0191,Anika Sultana & Co.,Audit,Statutory Audit,4/13/2023,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2308100468AS190039,K.M. FASHIONS LIMITED,Garments,Textiles,Garments,Y,Private Limited Company,468,Tofayel  Ahmed FCA,F-0138,Tofayel Ahmed & Co.,Audit,Statutory Audit,8/10/2023,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2309100763AS278157,WALTON HI-TECH INDUSTRIES LIMITED,Others,Other Manufacturing,Others,Y,Public Limited Company,763,Neaz  Mohammed FCA,F-0058,Howladar Yunus & Co.,Audit,Statutory Audit,9/10/2023,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2308010643AO252424,MARICO BANGLADESH LIMITED,Cosmetics,Chemical,Cosmetics,Y,Public Limited Company,643,Akhtar  Sanjida Kasem FCA,F-0010,A Qasem & Co.,Audit,Other Audit,7/26/2023,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2307261885AS787654,MOSTAFA METAL INDUSTRIES LTD.,Plastic,Other Manufacturing,Plastic,Y,Public Limited Company,1885,Md. Tanjilur Rahman FCA,F-0077,Khan Wahab Shafique Rahman & Co.,Audit,Statutory Audit,7/26/2023,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2306050804AS336645,EMERALD OIL INDUSTRIES LTD.,Edible Oil,Food & Allied,Edible Oil,Y,Public Limited Company,804,Md Aftab Uddin Ahmed FCA,F-0034,Aziz Halim Khair Choudhury,Audit,Statutory Audit,6/5/2023,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2306050804AS646012,EMERALD OIL INDUSTRIES LTD.,Edible Oil,Food & Allied,Edible Oil,Y,Public Limited Company,804,Md Aftab Uddin Ahmed FCA,F-0034,Aziz Halim Khair Choudhury,Audit,Statutory Audit,6/5/2023,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2306100461AS623224,BANGLADESH ZIPPER INDUSTRIES LTD.,Others,Textiles,Others,Y,Public Limited Company,461,Md Shirazul Islam Khan FCA,F-0133,Shiraz Khan Basak & Co.,Audit,Statutory Audit,6/10/2023,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2306100461AS248202,BANGLADESH LUGGAGE INDUSTRIES LIMITED,Others,Textiles,Others,Y,Public Limited Company,461,Md Shirazul Islam Khan FCA,F-0133,Shiraz Khan Basak & Co.,Audit,Statutory Audit,6/10/2023,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2308290471AS657709,THE IBN SINA PHARMACEUTICAL INDUSTRY PLC  ,Pharmaceuticals,Medicine & Healthcare,Pharmaceuticals,Y,Public Limited Company,471,Md Enamul Haque Choudhury FCA,F-0121,S F Ahmed & Co.,Audit,Statutory Audit,8/28/2023,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2307220575AS787452,ENVOY TEXTILES LIMITED,Denims,Textiles,Denims,Y,Public Limited Company,575,Md Abdul Momin Khan Lohani FCA,F-0025,ARTISAN,Audit,Statutory Audit,7/22/2023,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2309040105AS283827,EASTERN HOUSING LTD.,Real Estate,Construction,Real Estate,Y,Public Limited Company,105,Howlader Mahfel Huq FCA,F-0091,Mahfel Huq & Co.,Audit,Statutory Audit,8/30/2023,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2309030796AS765340,WESTERN MARINE SHIPYARD LIMITED,Carbon Steel,Metal Industries,Carbon Steel,Y,Public Limited Company,796,Md Golam Kibria FCA,F-0089,M Z Islam & Co.,Audit,Statutory Audit,9/3/2023,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2306050804AS553581,EMERALD OIL INDUSTRIES LTD.,Edible Oil,Food & Allied,Edible Oil,Y,Public Limited Company,804,Md Aftab Uddin Ahmed FCA,F-0034,Aziz Halim Khair Choudhury,Audit,Statutory Audit,6/5/2023,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2306010137AS878915,BERGER PAINTS BANGLADESH LIMITED,Others,Other Manufacturing,Others,Y,Public Limited Company,137,Showkat  Hossain FCA,F-0055,Hoda Vasi Chowdhury & Co.,Audit,Statutory Audit,6/1/2023,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2305030643AS129739,MARICO BANGLADESH LIMITED,Cosmetics,Chemical,Cosmetics,Y,Public Limited Company,643,Akhtar  Sanjida Kasem FCA,F-0010,A Qasem & Co.,Audit,Statutory Audit,4/27/2023,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2304171090AS194141,BATA SHOE COMPANY (BANGLADESH) LIMITED,Footwear,Tannery,Footwear,Y,Public Limited Company,1090,AKM Fazlul Haque FCA,F-0061,Hussain Farhad & Co.,Audit,Statutory Audit,4/13/2023,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2304021259AO309487,RUNNER AUTOMOBILES LTD.,Automotive,Metal Industries,Automotive,Y,Public Limited Company,1259,Ziaur  Rahman Zia FCA,F-0010,A Qasem & Co.,Audit,Other Audit,3/30/2023,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2304270739AS385614,HEIDELBERG CEMENT BANGLADESH LIMITED,Cements,Cements,Cements,Y,Public Limited Company,739,Md  Rokonuzzaman FCA,F-0003,ACNABIN,Audit,Statutory Audit,4/27/2023,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2301290509AS507489,SINGER BANGLADESH LIMITED,Others,Other Manufacturing,Others,Y,Public Limited Company,509,Ali Ashfaq FCA,F-0118,Rahman Rahman Huq,Audit,Statutory Audit,1/26/2023,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2302240599AS326864,EMERALD OIL INDUSTRIES LTD.,Edible Oil,Food & Allied,Edible Oil,Y,Public Limited Company,599,Bhudhar  Chakraborty FCA,F-0133,Shiraz Khan Basak & Co.,Audit,Statutory Audit,2/23/2023,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2302240599AS921044,EMERALD OIL INDUSTRIES LTD.,Edible Oil,Food & Allied,Edible Oil,Y,Public Limited Company,599,Bhudhar  Chakraborty FCA,F-0133,Shiraz Khan Basak & Co.,Audit,Statutory Audit,2/23/2023,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2302240599AS142842,EMERALD OIL INDUSTRIES LTD.,Edible Oil,Food & Allied,Edible Oil,Y,Public Limited Company,599,Bhudhar  Chakraborty FCA,F-0133,Shiraz Khan Basak & Co.,Audit,Statutory Audit,2/23/2023,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2301311046AS704893,S.S. STEEL LIMITED,Others,Metal Industries,Others,Y,Public Limited Company,1046,Md. Mohiuddin Ahmed FCA,F-0027,Ashraf Uddin & Co.,Audit,Statutory Audit,1/31/2023,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2302080652AS934371,BRITISH AMERICAN TOBACCO BANGLADESH COMPANY LIMITED ,Others,Other Manufacturing,Others,Y,Public Limited Company,652,Adeeb Hossain Khan FCA,F-0118,Rahman Rahman Huq,Audit,Statutory Audit,2/8/2023,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2303090509AS116418,UNILEVER CONSUMER CARE LIMITED ,Others,Food & Allied,Others,Y,Public Limited Company,509,Ali Ashfaq FCA,F-0118,Rahman Rahman Huq,Audit,Statutory Audit,3/9/2023,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2302060599AS956574,OIMEX ELECTRODE LIMITED,Others,Other Manufacturing,Others,Y,Public Limited Company,599,Bhudhar  Chakraborty FCA,F-0133,Shiraz Khan Basak & Co.,Audit,Statutory Audit,2/6/2023,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2301240893AS303727,QUEEN SOUTH TEXTILE MILLS LTD.,Washing & Dyeing,Textiles,Washing & Dyeing,Y,Public Limited Company,893,Arup  Chowdhury FCA,F-0017,Ahmed Zaker & Co.,Audit,Statutory Audit,10/27/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2301291046AS360224,HF POWER LIMITED,Others,Other Manufacturing,Others,Y,Public Limited Company,1046,Md. Mohiuddin Ahmed FCA,F-0027,Ashraf Uddin & Co.,Audit,Statutory Audit,1/29/2023,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2301240695AO475644,SINOBANGLA INDUSTRIES LTD.,Plastic,Other Manufacturing,Plastic,Y,Public Limited Company,695,Abu  Sharf Manjurul Hoque FCA,F-0044,FAMES & R,Audit,Other Audit,1/24/2023,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2303070469AS426880,LAFARGEHOLCIM BANGLADESH LIMITED,Cements,Cements,Cements,Y,Public Limited Company,469,A F  Nesaruddin FCA,F-0055,Hoda Vasi Chowdhury & Co.,Audit,Statutory Audit,3/2/2023,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2303190240AS812061,RING SHINE TEXTILES LIMITED,Others,Textiles,Others,Y,Public Limited Company,240,Md Nurul Hossain Khan FCA,F-0073,Kazi Zahir Khan & Co.,Audit,Statutory Audit,3/19/2023,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2302160950AS366355,RECKITT BENCKISER (BANGLADESH) PLC,Others,Chemical,Others,Y,Public Limited Company,950,Mohammad Motaleb Hossain FCA,F-0010,A Qasem & Co.,Audit,Statutory Audit,2/16/2023,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2302220452AS989818,PREMIER CEMENT MILLS LIMITED,Others,Other Manufacturing,Others,Y,Public Limited Company,452,Muhammed Farhad Hussain FCA,F-0061,Hussain Farhad & Co.,Audit,Statutory Audit,2/13/2023,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2212200939AS262971,EXCELSIOR SHOES LIMITED,Others,Other Manufacturing,Others,Y,Public Limited Company,939,Md. Selim Reza  FCA,F-0025,ARTISAN,Audit,Statutory Audit,12/18/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2301260643AO100464,MARICO BANGLADESH LIMITED,Cosmetics,Chemical,Cosmetics,Y,Public Limited Company,643,Akhtar  Sanjida Kasem FCA,F-0010,A Qasem & Co.,Audit,Other Audit,1/23/2023,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2301260950AS789603,RAK CERAMICS (BANGLADESH) LTD.,Ceramics,Glass & Ceramics,Ceramics,Y,Public Limited Company,950,Mohammad Motaleb Hossain FCA,F-0010,A Qasem & Co.,Audit,Statutory Audit,1/25/2023,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2212290564AS920012,BEXIMCO SYNTHETICS LTD.,Garments,Textiles,Garments,Y,Public Limited Company,564,Mahmood Hasan FCA,F-0083,M J Abedin & Co.,Audit,Statutory Audit,12/21/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2212040620AS369190,ARAMIT LIMITED,Others,Other Manufacturing,Others,Y,Public Limited Company,620,Haradhan  Dey FCA,F-0088,M R H Dey & Co.,Audit,Statutory Audit,12/4/2022,Certification for CG Governance,Others
2211301772AS797033,DOMINAGE STEEL BUILDING SYSTEMS LTD.,Others,Other Manufacturing,Others,Y,Public Limited Company,1772,Chaity  Basak ACA,F-0133,Shiraz Khan Basak & Co.,Audit,Statutory Audit,11/21/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2212260392AS206251,RANGAMATI FOOD PRODUCTS LTD.,Others,Food & Allied,Others,Y,Public Limited Company,392,A. K. Gulam Kibria FCA,F-0047,G Kibria & Co.,Audit,Statutory Audit,12/22/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2211280697AS925576,GLOBAL HEAVY CHEMICALS LIMITED,Others,Chemical,Others,Y,Public Limited Company,697,Md Harun-Or- Rashid FCA,F-0025,ARTISAN,Audit,Statutory Audit,11/28/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2212010196AS320552,AMBEE PHARMACEUTICALS LIMITED,Others,Other Manufacturing,Others,Y,Public Limited Company,196,Md Showkat Hossain FCA,F-0011,A Wahab & Co.,Audit,Statutory Audit,11/23/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2210250566AS747298,S. C. I LTD. EMPLOYEES PROVIDENT FUND,Ceramics,Glass & Ceramics,Ceramics,Y,Public Limited Company,566,Md Abul Kashem Mojumder FCA,F-0081,M Ahmed & Co.,Audit,Statutory Audit,10/19/2022,Auditors Report and Financial Statements ,Others
2210310599AS280327,SILVA PHARMACEUTICALS LIMITED,Pharmaceuticals,Medicine & Healthcare,Pharmaceuticals,Y,Public Limited Company,599,Bhudhar  Chakraborty FCA,F-0133,Shiraz Khan Basak & Co.,Audit,Statutory Audit,10/31/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2210301046AS433987,ALIF INDUSTRIES LIMITED,Garments,Textiles,Garments,Y,Public Limited Company,1046,Md. Mohiuddin Ahmed FCA,F-0027,Ashraf Uddin & Co.,Audit,Statutory Audit,10/30/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2211030458AS431290,NATIONAL FEED MILL LIMITED,Others,Food & Allied,Others,Y,Public Limited Company,458,AKM Mohitul Haq FCA,F-0017,Ahmed Zaker & Co.,Audit,Statutory Audit,10/28/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2211090596AS799238,EASTERN CABLES LIMITED,Others,Other Manufacturing,Others,Y,Public Limited Company,596,Md Iqbal Hossain FCA,F-0142,Zoha Zaman Kabir Rashid & Co.,Audit,Statutory Audit,11/8/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2210230787AS273187,RENATA LIMITED ,Pharmaceuticals,Medicine & Healthcare,Pharmaceuticals,Y,Public Limited Company,787,Md  Moniruzzaman FCA,F-0003,ACNABIN,Audit,Statutory Audit,10/22/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2212040620CC662201,ARAMIT CEMENT LIMITED,Cements,Cements,Cements,Y,Public Limited Company,620,Haradhan  Dey FCA,F-0088,M R H Dey & Co.,Certification,Corporate Governance Certification,12/4/2022,Other Certification,Others
2212131032AS777543,SAMATA LEATHER COMPLEX LIMITED,Others,Tannery,Others,Y,Public Limited Company,1032,Fouzia  Haque FCA,F-0044,FAMES & R,Audit,Statutory Audit,12/13/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2212180469OO549968,LAFARGEHOLCIM BANGLADESH LIMITED,Cements,Cements,Cements,Y,Public Limited Company,469,A F  Nesaruddin FCA,F-0055,Hoda Vasi Chowdhury & Co.,Other Audit,Other Audit,11/30/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2212180939AS181052,EXCELSIOR SHOES LIMITED,Others,Other Manufacturing,Others,Y,Public Limited Company,939,Md. Selim Reza  FCA,F-0025,ARTISAN,Audit,Statutory Audit,12/18/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2212200939AS960882,EXCELSIOR SHOES LIMITED,Others,Other Manufacturing,Others,Y,Public Limited Company,939,Md. Selim Reza  FCA,F-0025,ARTISAN,Audit,Statutory Audit,12/18/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2211230697AS118963,KHAN BROTHERS PP WOVEN BAG INDUSTRIES LTD.,Others,Other Manufacturing,Others,Y,Public Limited Company,697,Md Harun-Or- Rashid FCA,F-0025,ARTISAN,Audit,Statutory Audit,11/10/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2210181090AS967664,APEX FOODS LIMITED,Others,Food & Allied,Others,Y,Public Limited Company,1090,AKM Fazlul Haque FCA,F-0061,Hussain Farhad & Co.,Audit,Statutory Audit,10/16/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2211030763AS375232,RUNNER AUTOMOBILES LTD.,Automotive,Metal Industries,Automotive,Y,Public Limited Company,763,Neaz  Mohammed FCA,F-0058,Howladar Yunus & Co.,Audit,Statutory Audit,11/3/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2211131522AS418236,ESQUIRE KNIT COMPOSITE LTD.,Garments,Textiles,Garments,Y,Public Limited Company,1522,Md. Abdus Satter Sarkar FCA,F-0091,Mahfel Huq & Co.,Audit,Statutory Audit,10/30/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2211171244AS184196,FU-WANG CERAMIC INDUSTRY LTD.,Ceramics,Glass & Ceramics,Ceramics,Y,Public Limited Company,1244,Muhammad Shajedul Hoque Talukder FCA,F-0090,MABS & J Partners,Audit,Statutory Audit,11/17/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2211220415CC914799,RAHIM TEXTILE MILLS LIMITED,Washing & Dyeing,Textiles,Washing & Dyeing,Y,Public Limited Company,415,Dipak Ranjan Datta FCA,F-0041,Das Chowdhury Dutta & Co.,Certification,Corporate Governance Certification,11/22/2022,Certification for CG Governance,"Bangladesh Securities and Exchange Commission Act, 1993"
2211220415CC400730,MALEK SPINNING MILLS LIMITED,Spinning,Textiles,Spinning,Y,Public Limited Company,415,Dipak Ranjan Datta FCA,F-0041,Das Chowdhury Dutta & Co.,Certification,Corporate Governance Certification,11/22/2022,Certification for CG Governance,"Bangladesh Securities and Exchange Commission Act, 1993"
2211100697AS576823,ZAHEEN SPINNING LIMITED,Spinning,Textiles,Spinning,Y,Public Limited Company,697,Md Harun-Or- Rashid FCA,F-0025,ARTISAN,Audit,Statutory Audit,11/1/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2211150670AS791699,MEGHNA CEMENT MILLS LTD.,Cements,Cements,Cements,Y,Public Limited Company,670,AKM Kamrul Islam FCA,F-0065,Islam Aftab Kamrul & Co.,Audit,Statutory Audit,10/27/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2210290407AS167040,AFTAB AUTOMOBILES LIMITED,Others,Other Manufacturing,Others,Y,Public Limited Company,407,AKM Aminul Hoque FCA,F-0004,A Hoque & Co.,Audit,Statutory Audit,10/29/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2211061394AS151395,RANGPUR DAIRY & FOOD PRODUCTS LIMITED,Others,Food & Allied,Others,Y,Public Limited Company,1394,Sheikh Zahidul Islam FCA,F-0127,Shafiq Basak & Co.,Audit,Statutory Audit,10/30/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2210020478AS309782,PAPER PROCESSING AND PACKAGING LTD,Paper,Other Manufacturing,Paper,Y,Public Limited Company,478,M Zabed Ali Mridha FCA,F-0017,Ahmed Zaker & Co.,Audit,Statutory Audit,9/29/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2211070392AS202351,MAKSONS  SPINNING  MILLS  LIMITED,Spinning,Textiles,Spinning,Y,Public Limited Company,392,A. K. Gulam Kibria FCA,F-0047,G Kibria & Co.,Audit,Statutory Audit,10/27/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2211110165AS139005,ACME PESTICIDES LIMITED,Pestricides,Killing Substance,Pestricides,Y,Public Limited Company,165,Quazi Shafiqul Islam FCA,F-0067,Islam Quazi Shafique & Co.,Audit,Statutory Audit,10/30/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2210031729AS146598,BANGLADESH MONOSPOOL PAPER MANUFACTURING COMPANY LTD.,Paper,Other Manufacturing,Paper,Y,Public Limited Company,1729,Mohan Adhikari FCA,F-0112,Pinaki & Company,Audit,Statutory Audit,9/28/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2210220407AS201321,JMI SYRINGES AND MEDICAL DEVICES LIMITED,Pharmaceuticals,Medicine & Healthcare,Pharmaceuticals,Y,Public Limited Company,407,AKM Aminul Hoque FCA,F-0004,A Hoque & Co.,Audit,Statutory Audit,10/22/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2210300178AS608482,GOLDEN HARVEST AGRO INDUSTRIES LIMITED,Others,Food & Allied,Others,Y,Public Limited Company,178,Chitta Ranjan Mazumder FCA,F-0090,MABS & J Partners,Audit,Statutory Audit,10/30/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2211060165AS626996,MEGHNA PET INDUSTRIES LIMITED,Edible Oil,Food & Allied,Edible Oil,Y,Public Limited Company,165,Quazi Shafiqul Islam FCA,F-0067,Islam Quazi Shafique & Co.,Audit,Statutory Audit,10/27/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2211170595AS658759,PACIFIC DENIMS LIMITED,Denims,Textiles,Denims,Y,Public Limited Company,595,Md Shafiqul Islam FCA,F-0127,Shafiq Basak & Co.,Audit,Statutory Audit,11/17/2022,Auditors Report and Financial Statements ,"Bangladesh Securities and Exchange Commission Act, 1993"
2210190970AS589325,AMAN FEED LIMITED,Others,Food & Allied,Others,Y,Public Limited Company,970,Mohammad  Showket Akber FCA,F-0047,G Kibria & Co.,Audit,Statutory Audit,10/19/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2211080939AS941462,OLYMPIC ACCESSORIES LTD.,Others,Other Manufacturing,Others,Y,Public Limited Company,939,Md. Selim Reza  FCA,F-0025,ARTISAN,Audit,Statutory Audit,10/27/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2211081184AS329422,USMANIA GLASS SHEET FACTORY LIMITED,Glass,Glass & Ceramics,Glass,Y,Public Limited Company,1184,Arafat  Kamal FCA,F-0115,Rahman Mostafa Alam & Co.,Audit,Statutory Audit,11/8/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2211190760AS976161,ATLAS BANGLADESH LIMITED,Others,Other Manufacturing,Others,Y,Public Limited Company,760,Ghulum Murshed Latiful Quader FCA,F-0073,Kazi Zahir Khan & Co.,Audit,Statutory Audit,11/19/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2211020240AS448774,COPPERTECH INDUSTRIES LIMITED,Others,Metal Industries,Others,Y,Public Limited Company,240,Md Nurul Hossain Khan FCA,F-0073,Kazi Zahir Khan & Co.,Audit,Statutory Audit,10/27/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994"
